handle,score,status,posts_seen,valuable_posts
"@yoi_cospre24",7.4,"active",1,1
"@yomogihirachi",7.4,"active",1,1
"@youmake1t",7.4,"active",1,1
"@yqc_decagram610",7.4,"active",1,1
"@yuiogawa0361425",7.4,"active",1,1
"@yuko_jb04",7.4,"active",1,1
"@yuko_runrun616",7.4,"active",1,1
"@yumede0aetane",7.4,"active",1,1
"@yumiko1227",7.4,"active",1,1
"@yuyuyun214",7.4,"active",1,1
"@zatu_nobuon",7.4,"active",1,1
"@zenbu_ore2026",7.4,"active",1,1
"@zeroiuq2",7.4,"active",1,1
"@zxylchqguho6djx",7.4,"active",1,1
"@bondbont",7.178,"trusted",37,26
"@bonodorijapan",6.467,"active",3,2
"@bon_odoroo",6.433,"trusted",6,4
"@mimi33yuyu26na",4.633,"active",6,1
"@mkikkai20",4.4,"active",1,1
"@harebon_odori",4.382,"active",11,5
"@okeeboho",4.3,"active",4,2
"@adfshunsuke2112",3.8,"active",2,1
"@pink_daiamond_",3.571,"active",14,6
"@2tsuo_g",2.247,"active",17,4
"@iwzpxdcccp30jb4",2.029,"active",14,2
"@bababajintou",2.0,"probation",2,0
"@chiaki_h96",1.8,"active",2,1
"@bonusagi123",1.667,"probation",3,0
"@kasumi_1030_",1.0,"probation",1,0
"@mariya_ukonya",1.0,"probation",2,0
"@matsurinokiseki",1.0,"probation",1,0
"@karinchanchanko",-0.6,"probation",2,0
